,killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,total_kill,hurts,coins,jumps,target,silhouette
93,0,-3,-1,-3,-10,10,0.3134328358208955,0.0,0.6181818181818182,0.32500000000000007,0,0.8674355485498794
94,0,-3,-1,-1,-10,10,0.3283582089552239,0.0,0.6181818181818182,0.31666666666666676,0,0.871896064453511
95,0,-3,-1,0,-10,10,0.5223880597014925,0.7076923076923077,0.890909090909091,0.33333333333333337,4,0.7917445994697939
96,0,-3,0,-3,-10,10,0.3134328358208955,0.0,0.6727272727272727,0.3749999999999999,0,0.8531109423389566
97,0,-3,0,-1,-10,10,0.3134328358208955,0.0,0.6727272727272727,0.3749999999999999,0,0.8531109423389566
98,0,-3,0,0,-10,10,0.29850746268656714,0.16923076923076924,0.7454545454545454,0.2333333333333334,0,0.7904172275155043
99,0,-1,-3,-3,-10,10,0.3283582089552239,0.0,0.5818181818181819,0.29166666666666663,0,0.866587838239214
100,0,-1,-3,-1,-10,10,0.2835820895522388,0.0,0.5272727272727272,0.29166666666666663,0,0.833674321822474
101,0,-1,-3,0,-10,10,0.5223880597014925,0.5538461538461539,0.9090909090909092,0.2416666666666667,4,0.8073903317783038
102,0,-1,-1,-3,-10,10,0.3134328358208955,0.0,0.6181818181818182,0.32500000000000007,0,0.8674355485498794
103,0,-1,-1,-1,-10,10,0.3283582089552239,0.0,0.5818181818181819,0.29166666666666663,0,0.866587838239214
104,0,-1,-1,0,-10,10,0.5074626865671641,0.5384615384615385,0.9454545454545455,0.2833333333333333,4,0.8079534995995443
105,0,-1,0,-3,-10,10,0.3134328358208955,0.0,0.6727272727272727,0.3749999999999999,0,0.8531109423389566
106,0,-1,0,-1,-10,10,0.3134328358208955,0.0,0.6727272727272727,0.3749999999999999,0,0.8531109423389566
107,0,-1,0,0,-10,10,0.29850746268656714,0.16923076923076924,0.7818181818181819,0.20833333333333337,0,0.7711243040842755
108,0,0,-3,-3,-10,10,0.26865671641791045,0.0,0.34545454545454546,0.15000000000000002,0,0.684158292958499
109,0,0,-3,-1,-10,10,0.19402985074626863,0.0,0.36363636363636365,0.2416666666666667,0,0.6970722260156396
110,0,0,-3,0,-10,10,0.41791044776119396,0.676923076923077,0.38181818181818183,0.22499999999999998,2,0.6899785452036932
111,0,0,-1,-3,-10,10,0.3134328358208955,0.0,0.509090909090909,0.2416666666666667,0,0.827207741839891
112,0,0,-1,-1,-10,10,0.29850746268656714,0.0,0.4545454545454546,0.2583333333333333,0,0.797845573149936
113,0,0,-1,0,-10,10,0.41791044776119396,0.49230769230769234,0.38181818181818183,0.21666666666666667,2,0.6867712075532685
114,0,0,0,-3,-10,10,0.3432835820895522,0.015384615384615385,0.2363636363636364,0.20833333333333337,1,0.7005414490976147
115,0,0,0,-1,-10,10,0.3432835820895522,0.015384615384615385,0.2363636363636364,0.20833333333333337,1,0.7005414490976147
116,0,0,0,0,-10,10,0.22388059701492535,0.015384615384615385,0.07272727272727274,0.016666666666666607,3,0.7115924790249344
117,0,1,-3,-3,-10,10,0.29850746268656714,0.0,0.018181818181818184,0.2583333333333333,3,0.763701421737999
118,0,1,-3,-1,-10,10,0.19402985074626863,0.0,0.0,0.2333333333333334,3,0.8154720425553615
119,0,1,-3,0,-10,10,0.40298507462686567,0.49230769230769234,0.03636363636363637,0.1166666666666667,2,0.7072382542327719
120,0,1,-1,-3,-10,10,0.3582089552238806,0.0,0.03636363636363637,0.29166666666666663,1,0.7418948432298461
121,0,1,-1,-1,-10,10,0.3134328358208955,0.0,0.018181818181818184,0.2833333333333333,3,0.7546935339742715
122,0,1,-1,0,-10,10,0.41791044776119396,0.36923076923076925,0.03636363636363637,0.21666666666666667,2,0.6597552351920922
123,0,1,0,-3,-10,10,0.3134328358208955,0.015384615384615385,0.03636363636363637,0.9333333333333332,5,0.9063427108902496
124,0,1,0,-1,-10,10,0.3134328358208955,0.015384615384615385,0.03636363636363637,0.9333333333333332,5,0.9063427108902496
125,0,1,0,0,-10,10,0.20895522388059698,0.015384615384615385,0.0,0.0,3,0.7072849351583784
126,0,3,-3,-3,-10,10,0.22388059701492535,0.0,0.0,0.19166666666666676,3,0.7920651930388011
127,0,3,-3,-1,-10,10,0.16417910447761194,0.0,0.018181818181818184,0.25,3,0.8319353895572994
